Fecha, Voltaje, Corriente, Potencia, Energía, Frecuencia, Factor de Potencia 
2023/6/20 (Martes) 19:55:0, 127.10, 13.53, 1458.40, 36.39, 60.00, 0.85
2023/6/20 (Martes) 20:0:0, 127.40, 13.16, 1435.90, 36.51, 60.00, 0.86
2023/6/20 (Martes) 20:5:0, 127.80, 13.03, 1415.00, 36.65, 59.90, 0.85
2023/6/20 (Martes) 20:10:0, 127.90, 13.32, 1409.50, 36.77, 60.00, 0.83
2023/6/20 (Martes) 20:15:0, 127.50, 12.88, 1387.10, 36.89, 59.90, 0.84
2023/6/20 (Martes) 20:20:0, 126.00, 15.22, 1743.70, 37.02, 59.90, 0.91
2023/6/20 (Martes) 20:25:0, 126.90, 13.26, 1556.10, 37.14, 59.90, 0.92
2023/6/20 (Martes) 20:30:0, 125.70, 13.59, 1579.10, 37.27, 60.00, 0.92
2023/6/20 (Martes) 20:35:0, 126.10, 11.58, 1374.50, 37.42, 60.00, 0.94
2023/6/20 (Martes) 20:40:0, 126.00, 11.54, 1367.40, 37.53, 59.90, 0.94
2023/6/20 (Martes) 20:45:0, 126.20, 11.78, 1396.50, 37.65, 59.90, 0.94
2023/6/20 (Martes) 20:50:0, 125.40, 11.06, 1308.60, 37.78, 60.00, 0.94
2023/6/20 (Martes) 20:55:0, 127.10, 11.10, 1329.20, 37.89, 60.00, 0.94
2023/6/20 (Martes) 21:0:0, 126.60, 12.08, 1429.10, 38.01, 59.90, 0.93
2023/6/20 (Martes) 21:5:0, 126.00, 11.94, 1406.60, 38.14, 59.90, 0.93
2023/6/20 (Martes) 21:10:0, 125.80, 11.48, 1358.90, 38.26, 59.90, 0.94
2023/6/20 (Martes) 21:15:0, 126.10, 11.10, 1320.90, 38.37, 60.00, 0.94
2023/6/20 (Martes) 21:20:0, 126.20, 11.55, 1368.50, 38.51, 60.00, 0.94
2023/6/20 (Martes) 21:25:0, 126.00, 11.08, 1319.20, 38.62, 59.90, 0.94
2023/6/20 (Martes) 21:30:0, 127.00, 10.58, 1271.40, 38.73, 60.00, 0.95
2023/6/20 (Martes) 21:35:0, 126.50, 10.88, 1302.40, 38.86, 59.90, 0.95
2023/6/20 (Martes) 21:40:0, 126.40, 10.85, 1299.90, 38.97, 60.00, 0.95
2023/6/20 (Martes) 21:45:0, 126.10, 12.41, 1502.80, 39.07, 59.90, 0.96
2023/6/20 (Martes) 21:50:0, 126.70, 10.65, 1278.10, 39.19, 60.00, 0.95
2023/6/20 (Martes) 21:55:0, 126.90, 12.02, 1440.20, 39.31, 59.90, 0.94
2023/6/20 (Martes) 22:0:0, 125.70, 12.38, 1470.50, 39.44, 59.90, 0.94
2023/6/20 (Martes) 22:5:0, 126.30, 12.23, 1458.30, 39.57, 60.00, 0.94
2023/6/20 (Martes) 22:10:0, 126.30, 12.63, 1495.50, 39.70, 60.00, 0.94
2023/6/20 (Martes) 22:15:0, 126.00, 11.80, 1410.30, 39.82, 59.90, 0.95
2023/6/20 (Martes) 22:20:0, 126.30, 11.53, 1381.30, 39.96, 59.90, 0.95
2023/6/20 (Martes) 22:25:0, 126.70, 10.31, 1236.70, 40.06, 60.00, 0.95
2023/6/20 (Martes) 22:35:0, 127.60, 8.71, 1040.30, 40.27, 60.00, 0.94
2023/6/20 (Martes) 22:40:0, 127.30, 8.29, 983.00, 40.36, 60.00, 0.93
2023/6/20 (Martes) 22:45:0, 126.90, 8.56, 1018.80, 40.45, 60.00, 0.94
2023/6/20 (Martes) 22:50:0, 127.10, 8.43, 995.30, 40.55, 60.00, 0.93
2023/6/20 (Martes) 22:55:0, 127.60, 8.32, 988.70, 40.63, 60.00, 0.93
2023/6/20 (Martes) 23:0:0, 128.20, 8.94, 1075.70, 40.72, 60.00, 0.94
2023/6/20 (Martes) 23:5:0, 127.60, 14.42, 1697.00, 40.84, 59.80, 0.92
2023/6/20 (Martes) 23:10:0, 128.60, 8.26, 989.30, 40.93, 59.90, 0.93
2023/6/20 (Martes) 23:15:0, 128.20, 8.65, 1038.40, 41.02, 59.90, 0.94
2023/6/20 (Martes) 23:20:0, 128.00, 8.67, 1038.20, 41.12, 59.90, 0.94
2023/6/20 (Martes) 23:25:0, 128.50, 8.30, 991.80, 41.20, 60.00, 0.93
2023/6/20 (Martes) 23:30:0, 128.70, 8.58, 1034.60, 41.29, 60.00, 0.94
2023/6/20 (Martes) 23:35:0, 128.90, 7.29, 859.20, 41.38, 59.90, 0.91
2023/6/20 (Martes) 23:40:0, 126.60, 7.52, 876.00, 41.46, 60.00, 0.92
2023/6/20 (Martes) 23:45:0, 126.70, 7.63, 892.20, 41.53, 59.90, 0.92
2023/6/20 (Martes) 23:50:0, 127.00, 8.23, 962.90, 41.62, 59.90, 0.92
2023/6/20 (Martes) 23:55:0, 127.30, 8.08, 947.50, 41.70, 59.90, 0.92
2023/6/21 (Miércoles) 0:0:0, 127.50, 9.28, 1091.00, 41.79, 60.00, 0.92
2023/6/21 (Miércoles) 0:5:0, 127.00, 9.74, 1128.00, 41.89, 59.90, 0.91
2023/6/21 (Miércoles) 0:10:0, 127.70, 9.26, 1084.80, 41.99, 60.00, 0.92
2023/6/21 (Miércoles) 0:15:0, 127.90, 8.84, 1047.00, 42.08, 60.00, 0.93
2023/6/21 (Miércoles) 0:20:0, 127.60, 9.13, 1075.60, 42.18, 60.00, 0.92
2023/6/21 (Miércoles) 0:25:0, 127.60, 9.54, 1114.30, 42.27, 59.90, 0.92
2023/6/21 (Miércoles) 0:30:0, 128.50, 10.11, 1158.60, 42.37, 60.00, 0.89
2023/6/21 (Miércoles) 0:35:0, 128.30, 8.50, 987.80, 42.50, 60.00, 0.91
2023/6/21 (Miércoles) 0:40:0, 128.00, 8.24, 959.30, 42.58, 60.00, 0.91
2023/6/21 (Miércoles) 0:45:0, 123.20, 11.73, 1393.00, 42.66, 60.00, 0.96
2023/6/21 (Miércoles) 0:50:0, 126.30, 7.61, 883.40, 42.75, 59.90, 0.92
2023/6/21 (Miércoles) 0:55:0, 126.70, 8.06, 932.50, 42.82, 59.90, 0.91
2023/6/21 (Miércoles) 1:0:0, 126.40, 8.43, 965.70, 42.90, 60.00, 0.91
2023/6/21 (Miércoles) 1:5:0, 126.80, 8.02, 930.40, 42.99, 60.00, 0.91
2023/6/21 (Miércoles) 1:10:0, 126.00, 7.62, 882.00, 43.07, 59.90, 0.92
2023/6/21 (Miércoles) 1:15:0, 125.70, 11.91, 1441.00, 43.16, 60.00, 0.96
2023/6/21 (Miércoles) 1:20:0, 126.40, 7.69, 892.60, 43.24, 59.90, 0.92
2023/6/21 (Miércoles) 1:25:0, 126.40, 7.64, 887.60, 43.31, 60.00, 0.92
2023/6/21 (Miércoles) 1:30:0, 126.30, 12.35, 1496.40, 43.40, 60.00, 0.96
2023/6/21 (Miércoles) 1:35:0, 126.30, 8.45, 967.10, 43.49, 60.00, 0.91
2023/6/21 (Miércoles) 1:40:0, 126.50, 7.64, 887.50, 43.56, 59.90, 0.92
2023/6/21 (Miércoles) 1:45:0, 126.30, 12.16, 1479.70, 43.65, 60.00, 0.96
2023/6/21 (Miércoles) 1:50:0, 127.20, 8.11, 939.60, 43.73, 60.00, 0.91
2023/6/21 (Miércoles) 1:55:0, 127.20, 7.61, 890.20, 43.81, 60.00, 0.92
2023/6/21 (Miércoles) 2:0:0, 127.50, 8.00, 934.80, 43.90, 60.00, 0.92
2023/6/21 (Miércoles) 2:5:0, 126.30, 8.48, 972.00, 43.98, 59.90, 0.91
